USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
mong     29406  0.0  0.0 109052  2040 pts/0    R+   11:21   0:00 shadow -h 10000 -w 8 /home/mong/dependency/develop/blockchain-sim/cert/memory/1000S.xml
mong     29406  0.0  0.0 794936 11768 pts/0    Rl+  11:21   0:00 shadow -h 10000 -w 8 /home/mong/dependency/develop/blockchain-sim/cert/memory/1000S.xml --preload=/home/mong/dependency/develop/blockchain-sim/shadow/../Install/lib/libshadow-interpose.so
mong     29406  0.0  0.0 796916 13940 pts/0    Rl+  11:21   0:00 shadow -h 10000 -w 8 /home/mong/dependency/develop/blockchain-sim/cert/memory/1000S.xml --preload=/home/mong/dependency/develop/blockchain-sim/shadow/../Install/lib/libshadow-interpose.so
mong     29406 47.0  0.0 1084836 31396 pts/0   Sl+  11:21   0:00 shadow -h 10000 -w 8 /home/mong/dependency/develop/blockchain-sim/cert/memory/1000S.xml --preload=/home/mong/dependency/develop/blockchain-sim/shadow/../Install/lib/libshadow-interpose.so
mong     29406 62.0  0.1 1225780 58232 pts/0   Sl+  11:21   0:00 shadow -h 10000 -w 8 /home/mong/dependency/develop/blockchain-sim/cert/memory/1000S.xml --preload=/home/mong/dependency/develop/blockchain-sim/shadow/../Install/lib/libshadow-interpose.so
mong     29406 79.0  0.3 1577708 114272 pts/0  Sl+  11:21   0:00 shadow -h 10000 -w 8 /home/mong/dependency/develop/blockchain-sim/cert/memory/1000S.xml --preload=/home/mong/dependency/develop/blockchain-sim/shadow/../Install/lib/libshadow-interpose.so
mong     29406 94.0  0.4 1894540 160528 pts/0  Sl+  11:21   0:00 shadow -h 10000 -w 8 /home/mong/dependency/develop/blockchain-sim/cert/memory/1000S.xml --preload=/home/mong/dependency/develop/blockchain-sim/shadow/../Install/lib/libshadow-interpose.so
mong     29406  109  0.6 2281908 224608 pts/0  Sl+  11:21   0:01 shadow -h 10000 -w 8 /home/mong/dependency/develop/blockchain-sim/cert/memory/1000S.xml --preload=/home/mong/dependency/develop/blockchain-sim/shadow/../Install/lib/libshadow-interpose.so
mong     29406  127  1.0 2845108 328388 pts/0  Sl+  11:21   0:01 shadow -h 10000 -w 8 /home/mong/dependency/develop/blockchain-sim/cert/memory/1000S.xml --preload=/home/mong/dependency/develop/blockchain-sim/shadow/../Install/lib/libshadow-interpose.so
mong     29406  143  1.2 3375128 417308 pts/0  Sl+  11:21   0:01 shadow -h 10000 -w 8 /home/mong/dependency/develop/blockchain-sim/cert/memory/1000S.xml --preload=/home/mong/dependency/develop/blockchain-sim/shadow/../Install/lib/libshadow-interpose.so
mong     29406  160  1.5 3971588 496468 pts/0  Sl+  11:21   0:01 shadow -h 10000 -w 8 /home/mong/dependency/develop/blockchain-sim/cert/memory/1000S.xml --preload=/home/mong/dependency/develop/blockchain-sim/shadow/../Install/lib/libshadow-interpose.so
